Product code,Station Number,Year,MONTHS,RAINFALL(mm)
IDCJAC0001,23090,2000,September,67.8
IDCJAC0001,23090,2001,September,137.2
IDCJAC0001,23090,2002,September,39.4
IDCJAC0001,23090,2003,September,47
IDCJAC0001,23090,2004,September,58
IDCJAC0001,23090,2005,September,59.2
IDCJAC0001,23090,2006,September,32.6
IDCJAC0001,23090,2007,September,24
IDCJAC0001,23090,2008,September,16
IDCJAC0001,23090,2009,September,61.6
IDCJAC0001,23090,2010,September,72.2
IDCJAC0001,23090,2011,September,46.8
IDCJAC0001,23090,2012,September,21.8
IDCJAC0001,23090,2013,September,42.6
IDCJAC0001,23090,2014,September,31.4
IDCJAC0001,23090,2015,September,52.2
IDCJAC0001,23090,2016,September,131.2
IDCJAC0001,23090,2017,September,56
IDCJAC0001,23090,2018,September,23.2
IDCJAC0001,23090,2019,September,48.2
IDCJAC0001,23090,2020,September,57.6
IDCJAC0001,23090,1981,October,25
IDCJAC0001,23090,1982,October,15.4
IDCJAC0001,23090,1983,October,51.6
IDCJAC0001,23090,1984,October,25.2
IDCJAC0001,23090,1985,October,37.6
IDCJAC0001,23090,1986,October,69.2
IDCJAC0001,23090,1987,October,39
IDCJAC0001,23090,1988,October,19
IDCJAC0001,23090,1989,October,36.4
IDCJAC0001,23090,1990,October,32.8
IDCJAC0001,23090,1991,October,6.2
IDCJAC0001,23090,1992,October,75.8
IDCJAC0001,23090,1993,October,73.6
IDCJAC0001,23090,1994,October,50.6
IDCJAC0001,23090,1995,October,20.4
IDCJAC0001,23090,1996,October,28
IDCJAC0001,23090,1997,October,60.8
IDCJAC0001,23090,1998,October,66.6
IDCJAC0001,23090,1999,October,80.6
IDCJAC0001,23090,2000,October,82.4
IDCJAC0001,23090,2001,October,80.6
IDCJAC0001,23090,2002,October,22.4
IDCJAC0001,23090,2003,October,64.8
IDCJAC0001,23090,2004,October,10.6
IDCJAC0001,23090,2005,October,88.4
IDCJAC0001,23090,2006,October,1
IDCJAC0001,23090,2007,October,25.2
IDCJAC0001,23090,2008,October,8
IDCJAC0001,23090,2009,October,18.4
IDCJAC0001,23090,2010,October,29.2
IDCJAC0001,23090,2011,October,42.6
IDCJAC0001,23090,2012,October,20
IDCJAC0001,23090,2013,October,32.4
IDCJAC0001,23090,2014,October,5
IDCJAC0001,23090,2015,October,9
IDCJAC0001,23090,2016,October,81
IDCJAC0001,23090,2017,October,36.8
IDCJAC0001,23090,2018,October,21.8
IDCJAC0001,23090,2019,October,18.6
IDCJAC0001,23090,2020,October,50
IDCJAC0001,23090,1981,November,30
IDCJAC0001,23090,1982,November,1.2
IDCJAC0001,23090,1983,November,8.4
IDCJAC0001,23090,1984,November,53.2
IDCJAC0001,23090,1985,November,22.6
IDCJAC0001,23090,1986,November,10.2
IDCJAC0001,23090,1987,November,6.4
IDCJAC0001,23090,1988,November,37.8
IDCJAC0001,23090,1989,November,28.6
IDCJAC0001,23090,1990,November,12
IDCJAC0001,23090,1991,November,34.2
IDCJAC0001,23090,1992,November,107
IDCJAC0001,23090,1993,November,25.4
IDCJAC0001,23090,1994,November,38
IDCJAC0001,23090,1995,November,10.4
IDCJAC0001,23090,1996,November,1
IDCJAC0001,23090,1997,November,44.8
IDCJAC0001,23090,1998,November,30.6
IDCJAC0001,23090,1999,November,39.2
IDCJAC0001,23090,2000,November,9.6
IDCJAC0001,23090,2001,November,43.4
IDCJAC0001,23090,2002,November,31
IDCJAC0001,23090,2003,November,12
IDCJAC0001,23090,2004,November,64.8
IDCJAC0001,23090,2005,November,79.6
IDCJAC0001,23090,2006,November,18
IDCJAC0001,23090,2007,November,29.6
IDCJAC0001,23090,2008,November,13.8
IDCJAC0001,23090,2009,November,42.2
IDCJAC0001,23090,2010,November,23.2
IDCJAC0001,23090,2011,November,25.2
IDCJAC0001,23090,2012,November,17.6
IDCJAC0001,23090,2013,November,5.2
IDCJAC0001,23090,2014,November,24.4
IDCJAC0001,23090,2015,November,9.8
IDCJAC0001,23090,2016,November,33.2
IDCJAC0001,23090,2017,November,23.2
IDCJAC0001,23090,2018,November,48.6
IDCJAC0001,23090,2019,November,15.4
IDCJAC0001,23090,2020,November,13.8
IDCJAC0001,23090,1981,December,24.4
IDCJAC0001,23090,1982,December,10
IDCJAC0001,23090,1983,December,17.2
IDCJAC0001,23090,1984,December,7
IDCJAC0001,23090,1985,December,60.4
IDCJAC0001,23090,1986,December,32.8
IDCJAC0001,23090,1987,December,35.6
IDCJAC0001,23090,1988,December,42
IDCJAC0001,23090,1989,December,16.6
IDCJAC0001,23090,1990,December,45.6
IDCJAC0001,23090,1991,December,5.8
IDCJAC0001,23090,1992,December,70
IDCJAC0001,23090,1993,December,72.8
IDCJAC0001,23090,1994,December,8.8
IDCJAC0001,23090,1995,December,9
IDCJAC0001,23090,1996,December,15.4
IDCJAC0001,23090,1997,December,24.8
IDCJAC0001,23090,1998,December,11.8
IDCJAC0001,23090,1999,December,34.8
IDCJAC0001,23090,2000,December,13.4
IDCJAC0001,23090,2001,December,14.2
IDCJAC0001,23090,2002,December,9
IDCJAC0001,23090,2003,December,34.2
IDCJAC0001,23090,2004,December,32
IDCJAC0001,23090,2005,December,56.4
IDCJAC0001,23090,2006,December,16.8
IDCJAC0001,23090,2007,December,37.6
IDCJAC0001,23090,2008,December,40.4
IDCJAC0001,23090,2009,December,18.2
IDCJAC0001,23090,2010,December,87
IDCJAC0001,23090,2011,December,18.2
IDCJAC0001,23090,2012,December,11.6
IDCJAC0001,23090,2013,December,16.2
IDCJAC0001,23090,2014,December,6.4
IDCJAC0001,23090,2015,December,13
IDCJAC0001,23090,2016,December,86.8
IDCJAC0001,23090,2017,December,28.2
IDCJAC0001,23090,2018,December,19.8
IDCJAC0001,23090,2019,December,9.4
IDCJAC0001,23090,2020,December,18.8
